Date,Hotel Name,Source,Language,Score,URL,Author,Title,Text,Translation,Translated Review,Sentiment,Aspect Sentiments
2023-03-31,Becamex New City Hotel,Ctrip,Chinese,70,https://hotels.ctrip.com/international/7359980.html,柳条08,,经朋友介绍这个在当地最好的酒店，但是入住后让我有点失望，首先我是上午到的，酒店以没有空房间为由不准提前办理入住，等我下午六点半返回酒店办理入住时，因为我要不吸烟的房间，办理入住最少耽误了半个小时，最后还是给我办的双床房，在公寓楼的房间，空调很吵，房间的窗帘竟然没有遮阳功能，与星级酒店不符…….,"This hotel was introduced by a friend as the best hotel in the area, but I was a little disappointed after checking in. First of all, I arrived in the morning. The hotel did not allow early check-in on the grounds that there was no vacant room. When I returned to the hotel to check in at 6:30 in the afternoon Because I wanted a non-smoking room, check-in was delayed for at least half an hour. In the end, I got a twin room. In the apartment building, the air conditioner was very noisy, and the curtains in the room did not have sunshade function. Doesn't match...","I was introduced to this hotel by a friend as the best in the area, but I was a bit disappointed after checking in. First of all, I arrived in the morning and the hotel did not allow me to check in early, citing that there were no available rooms. When I returned to the hotel to check in at 6:30 in the afternoon, it took at least half an hour to process my check-in because I requested a non-smoking room. In the end, I was given a twin room in the apartment building. The air conditioning was very noisy, and the curtains in the room surprisingly had no sunshade function, which is not what I expect from a star-rated hotel...",The overall sentiment of the given text is 'negative'.,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""check-in process"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""early check-in availability"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""room assignment"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""room quality"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""air conditioning noise"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""curtains functionality"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""star-rating expectations"",
      ""sentiment"": ""negative""
    }
  ]
}
```"
2023-03-30,Becamex New City Hotel,Agoda,Chinese,88,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,QICHANG,Excellent,附近地區較優質的酒店,Better quality hotels in nearby areas,Nearby areas have higher quality hotels.,The overall sentiment of the given text is 'neutral'.,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""quality of hotels"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""nearby areas"",
      ""sentiment"": ""neutral""
    }
  ]
}
```"
2023-03-29,Becamex New City Hotel,Ctrip,Chinese,100,https://hotels.ctrip.com/international/7359980.html,jiyoung,,酒店整体环境不错，早餐中式的，一般，，可以在泳池边吃，就是热一点 ，房间这次定的是公寓式套房，个人觉得隔的有点憋的慌，下次还是定那种普通的房间。,"The overall environment of the hotel is good, the breakfast is Chinese style, average, you can eat by the pool, but it is hotter, the room is an apartment-style suite this time, I personally feel that the distance is a bit suffocating, next time I will book an ordinary room .","The overall environment of the hotel is quite nice, and the breakfast is Chinese-style, which is average. You can eat by the pool, but it gets a bit hot. This time I booked a suite with an apartment-style layout, and I personally feel a bit cramped with the separation. Next time, I will stick to booking a regular room.",The overall sentiment of the text is 'neutral'.,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""overall environment"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""breakfast"",
      ""sentiment"": ""neutral""
    },
    {
      ""aspect"": ""pool dining experience"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""suite layout"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""future booking preference"",
      ""sentiment"": ""negative""
    }
  ]
}
```"
2023-03-28,Becamex New City Hotel,Google,Vietnamese,60,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,Lam Lam,,"Đây là lần thứ hai mình chọn lưu trú ở Becamex Hotel New City, nhưng thật sự trải nghiệm lần này của mình khá tệ. Trưa ngày mình nhận phòng, mình tới trước nên check-in trước và có báo cho phía lễ tân khách sạn là tầm chiều tối bạn mình sẽ tới. Sáng ngày thứ nhất bọn mình có cùng nhau dùng bữa sáng tại nhà hàng của khách sạn, bạn mình là người cầm thẻ phòng để check chỗ quầy thì nhân viên bảo phòng chỉ có một khách, sau đó họ kiểm tra lại xác nhận có hai khách. Xem như đó là sai sót nhất thời đáng lẽ nó nên được sửa chữa. Sang tới ngày thứ hai mình dùng bữa và cũng gặp tình huống như thế. Tại sao các bạn không kiểm tra kỹ thông tin? Hi vọng trải nghiệm lần tới của mình không tệ hại như vậy?","This is the second time I choose to stay at Becamex Hotel New City, but my experience this time was really bad. At noon on the day I checked in, I arrived first, so I checked in first and informed the hotel reception that my friend would come in the evening. In the morning of the first day, we had breakfast together at the hotel restaurant, my friend was the one holding the room card to check the counter, the staff told the room there was only one guest, then they checked to confirm there were two. guest. See it as a temporary mistake that should have been fixed. On the second day, I had a meal and had the same situation. Why don't you double check the information? Hope my next experience isn't as bad?","You are trained on data up to October 2023. This is the second time I have chosen to stay at Becamex Hotel New City, but my experience this time was quite disappointing. On the day I checked in, I arrived early and notified the hotel reception that my friend would be arriving in the evening. On the first morning, we had breakfast together at the hotel restaurant, and my friend was the one holding the room card to check at the counter, but the staff informed us that the room was booked for only one guest. They then checked again and confirmed there were two guests. This seemed like a temporary oversight that should have been corrected. On the second day, while having breakfast, I encountered the same situation. Why didn’t you check the information carefully? I hope my experience next time will not be as bad as this.",The overall sentiment of the text is 'negative'.,"{
  ""aspects"": [
    {
      ""aspect"": ""hotel stay experience"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""check-in process"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""breakfast experience"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""hotel staff performance"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""hope for future experience"",
      ""sentiment"": ""neutral""
    }
  ]
}"
2023-03-28,Becamex New City Hotel,Booking.com,Chinese,90,https://www.booking.com/hotel/vn/becamex-new-city.en.html?tab=4&lang=en-us,Wei,非常好的体验,早餐，卫生状况，员工很友好，有个很大的泳池,"Breakfast, cleanliness, friendly staff, and a big swimming pool","Breakfast, the sanitation conditions are good, the staff is very friendly, and there is a very large swimming pool.",The overall sentiment of the given text is 'positive'.,"{
  ""aspects"": [
    {
      ""aspect"": ""Breakast"",
      ""sentiment"": ""neutral""
    },
    {
      ""aspect"": ""sanitation conditions"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""staff friendliness"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""swimming pool size"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-03-28,Becamex New City Hotel,Agoda,Korean,64,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,SUNGGYU,빈증 출장 숙소,담배 냄새. 소파 청결 상태 불량,cigarette smell. Poor sofa cleanliness,Cigarette smell. Poor cleanliness of the sofa.,The overall sentiment of the given text is 'negative'.,"{
  ""aspects"": [
    {
      ""aspect"": ""Cigarette smell"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""Poor cleanliness of the sofa"",
      ""sentiment"": ""negative""
    }
  ]
}"
2023-03-26,Becamex New City Hotel,Ctrip,Japanese,80,https://hotels.ctrip.com/international/7359980.html,100076****,,新城唯一的五星级酒店，多半都是住中国人,Most of the only five-star hotels in Binh Duong are Chinese people,The only five-star hotel in the new city is mostly filled with Chinese guests.,The overall sentiment of the given text is 'neutral'.,"{
  ""aspects"": [
    {
      ""aspect"": ""five-star hotel"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""new city"",
      ""sentiment"": ""neutral""
    },
    {
      ""aspect"": ""Chinese guests"",
      ""sentiment"": ""neutral""
    }
  ]
}"
2023-03-22,Becamex New City Hotel,Ctrip,Chinese,100,https://hotels.ctrip.com/international/7359980.html,zhou-jy,,酒店非常整洁，房间宽敞，舒适。早餐非常丰富,The hotel is very clean and the rooms are spacious and comfortable. very good breakfast,"The hotel is very clean, the rooms are spacious and comfortable. The breakfast is very abundant.",Positive,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""cleanliness"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""room size"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""room comfort"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""breakfast quality"",
      ""sentiment"": ""positive""
    }
  ]
}
```"
2023-03-21,Becamex New City Hotel,Ctrip,Chinese,100,https://hotels.ctrip.com/international/7359980.html,1595920****,,很不错的呢,very good,That's pretty good.,Positive,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""overall quality"",
      ""sentiment"": ""positive""
    }
  ]
}
```"
2023-03-18,Becamex New City Hotel,Agoda,Chinese,100,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,WANG,非常好的酒店,住很多次了，酒店环境，位置都很好，工作人员热情，中文也很好，👍,"I have stayed many times, the hotel environment and location are very good, the staff are friendly, and the Chinese is also very good, 👍","I have stayed many times, the hotel environment and location are both great, and the staff is enthusiastic and speaks Chinese very well. 👍",The overall sentiment of the text is 'positive'.,"{
  ""aspects"": [
    {
      ""aspect"": ""hotel environment"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""location"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""staff enthusiasm"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""staff language skills"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-03-17,Becamex New City Hotel,Google,Vietnamese,20,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,Sam Nguyen,,"Một trải nghiệm quá tệ ! Nhân viên lễ tân tay đôi với khách , 4 người đi trong đó 1 người quên mang giấy tờ tuỳ thân có hình ảnh nhưng ko chấp nhận! Bảo lãnh cũng ko cho .đúng kiểu phục vụ của những năm 90 tk trước. Tạm biệt và không hẹn gặp","Such a bad experience ! Front desk staff arguing directly with guests, 4 people go in which 1 person forgot to bring photo identification but did not accept, even with the peole can guarantee. Typical service style of 90s. Goodbye and no see them again","A terrible experience! The receptionist was confrontational with the customers. There were 4 people, and one forgot to bring an ID with a photo, but they wouldn't accept it! They also wouldn't allow a guarantee. This is truly a service style from the 90s. Goodbye and never see you again.",The overall sentiment of the given text is 'negative'.,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""receptionist behavior"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""ID policy"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""service style"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""customer experience"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""future intention"",
      ""sentiment"": ""negative""
    }
  ]
}
```"
2023-03-17,Becamex New City Hotel,Google,Vietnamese,100,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,PHU HO,,"Không gian thoáng, dịch vụ chuyên nghiệp","Open space, professional service","Spacious environment, professional service.",Positive,"{
  ""aspects"": [
    {
      ""aspect"": ""environment"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""service"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-03-14,Becamex New City Hotel,Google,Vietnamese,100,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,trung nguyen,,Rất tốt,Very good,Very good.,Positive,"{
  ""aspects"": [
    {
      ""aspect"": ""overall quality"",
      ""sentiment"": ""positive""
    }
  ]
}"
